sensor_number,m,t,b,r2
1,0.006708628878016425,-0.0011571480228543245,0.37248802933835357,0.9773367419747935
2,0.0009943149087763615,-0.001196457360278642,0.06967611457650268,0.9831477021710712
3,0.35878360306866064,-0.00040683533199523917,-0.16607274954523799,0.9952341794737893
4,0.3143279738994517,-0.00043861492663566543,-0.11635260747630642,0.9951114341265394
5,3284.745775524841,-5.9218781241467814e-08,-3284.2381433503874,0.9927230970323374
6,2509.1689073930374,-5.964076514333843e-08,-2508.5896157614134,0.9892686483822601
7,6.458182041061019,-4.1422501236816536e-05,-6.278868926699174,0.9943495474234127
8,2243.887471204637,-1.1788197610801559e-07,-2243.705062089249,0.9951018989966574
9,-0.13243547309966625,2.434948352996551e-07,0.13340666598140513,0.017380896006245483
10,8.539049474553708e-06,-0.001733248710307652,0.0011609577753480594,0.12244700371658646
11,0.328842149497504,-0.00039242852813405,-0.2180520738591231,0.9958072359947867
12,0.5823611479691584,-0.00022780278504074436,-0.5049664433562656,0.9955923286503643
13,130.98437553314793,-5.127186078810415e-08,-130.97041050994733,0.9771100310576383
14,164.6714598439845,-5.185398329075623e-08,-164.65857973729516,0.9810663652407118
15,836.6426421330918,-2.705543572041577e-07,-836.5038689112345,0.9959755989428484
16,2090.946812046013,-1.2139245953075032e-07,-2090.8013522207025,0.9958332049367258
